iter	MultiClass
0	1.493024246
1	1.410511229
2	1.34768385
3	1.293210372
4	1.250590195
5	1.213988522
6	1.180403989
7	1.152274381
8	1.125468213
9	1.103244123
10	1.082884999
11	1.063704293
12	1.048053541
13	1.035216502
14	1.022250889
15	1.009580743
16	0.9988366144
17	0.9881313603
18	0.9792075942
19	0.9703085941
20	0.9608894466
21	0.9524886003
22	0.9448909853
23	0.9381221069
24	0.9323786146
25	0.9261651845
26	0.9205173061
27	0.9155850541
28	0.9087231492
29	0.9031171636
30	0.8983970858
31	0.892713229
32	0.8881320133
33	0.8834865416
34	0.87941691
35	0.8744367893
36	0.8703627836
37	0.8660546715
38	0.861375932
39	0.8579926634
40	0.8543110939
41	0.8509482788
42	0.847515971
43	0.8445624724
44	0.8407862131
45	0.837908799
46	0.8349924495
47	0.8308052718
48	0.8283563957
49	0.8263857127
50	0.8232170211
51	0.8200117965
52	0.8171904448
53	0.814609545
54	0.8122264652
55	0.8096572091
56	0.8073129416
57	0.8053490354
58	0.8029022539
59	0.8004764188
60	0.7985758446
61	0.7966781042
62	0.7946963936
63	0.7922836192
64	0.7899710792
65	0.7874417445
66	0.7856834822
67	0.7832736033
68	0.7811736074
69	0.7793244749
70	0.7775829698
71	0.7756248546
72	0.774296424
73	0.7721305086
74	0.7707076962
75	0.7689914499
76	0.7675171957
77	0.7649382058
78	0.7632751263
79	0.7619760206
80	0.7603678329
81	0.7584377489
82	0.757152936
83	0.7552937616
84	0.7533929409
85	0.7517618354
86	0.7505970945
87	0.7494094358
88	0.7477740794
89	0.746018836
90	0.7447197303
91	0.7429965224
92	0.7420822137
93	0.7404735948
94	0.7393862938
95	0.7385009404
96	0.7369076615
97	0.7357213582
98	0.7343425947
99	0.7330680703
100	0.731976888
101	0.7306360745
102	0.7293374
103	0.7277197249
104	0.7259652823
105	0.7247025247
106	0.7234435868
107	0.7223984865
108	0.7213294212
109	0.7194016783
110	0.7180615424
111	0.7168535534
112	0.7154198982
113	0.7143772622
114	0.7130741521
115	0.7118586471
116	0.7105602191
117	0.7095398232
118	0.7080764734
119	0.7065270588
120	0.7055541619
121	0.7043320033
122	0.7033628028
123	0.7021933798
124	0.7005104628
125	0.6994091155
126	0.6979885825
127	0.6970559766
128	0.6960525226
129	0.6952573002
130	0.6937951209
131	0.6925676641
132	0.6910884814
133	0.6895272998
134	0.6882356485
135	0.6871294342
136	0.6864294561
137	0.6850764444
138	0.6838651902
139	0.6826348995
140	0.6818166977
141	0.6806663728
142	0.6794647909
143	0.6785269484
144	0.6781011211
145	0.6772407185
146	0.6762880903
147	0.6754239297
148	0.6746082538
149	0.6736427497
150	0.6730892113
151	0.6722387274
152	0.6715619751
153	0.6704589027
154	0.6694831719
155	0.6686594871
156	0.6674673927
157	0.6669413926
158	0.6659066423
159	0.6649774864
160	0.6634695948
161	0.6619465478
162	0.6608718147
163	0.6594301505
164	0.6582219151
165	0.6568660695
166	0.6561809386
167	0.655453299
168	0.6547786413
169	0.65386538
170	0.6528802233
171	0.6517965571
172	0.65078608
173	0.6499335631
174	0.6487694382
175	0.6474447657
176	0.6467791642
177	0.6457042462
178	0.6448556722
179	0.6439974874
180	0.6428457456
181	0.6420226152
182	0.6410530451
183	0.6400869249
184	0.6386548099
185	0.6377843037
186	0.637098372
187	0.6360561673
188	0.635509036
189	0.6344256779
190	0.6334591265
191	0.6328403463
192	0.6316549055
193	0.6311671017
194	0.6300883641
195	0.6292974541
196	0.6287108328
197	0.6281616685
198	0.6275629722
199	0.6267555515
200	0.6256672032
201	0.6246700332
202	0.6240129335
203	0.6230110814
204	0.6222964408
205	0.6217478925
206	0.6205912838
207	0.6195053997
208	0.6188606214
209	0.6184011568
210	0.6176068585
211	0.6171230591
212	0.6164756933
213	0.6153171131
214	0.6145838057
215	0.613959296
216	0.6127872855
217	0.6117513031
218	0.6111433658
219	0.6106335067
220	0.6098101915
221	0.6093014413
222	0.6084634636
223	0.6075643103
224	0.6070744118
225	0.6063390097
226	0.6054588929
227	0.6045675636
228	0.6035516651
229	0.6024666435
230	0.6016632274
231	0.6006424619
232	0.5998670769
233	0.5994456853
234	0.5989039755
235	0.5980327917
236	0.5972954181
237	0.5968414365
238	0.5962740366
239	0.5952267801
240	0.5947981806
241	0.5940190375
242	0.5934473867
243	0.5928886117
244	0.5920999196
245	0.591681978
246	0.5910357212
247	0.5905793985
248	0.5896256614
249	0.5884818669
250	0.5880416852
251	0.58716163
252	0.5865309597
253	0.5856884847
254	0.5849314586
255	0.584255384
256	0.5835700683
257	0.5829162954
258	0.5826056732
259	0.5820510874
260	0.5812667078
261	0.5806445393
262	0.5800114047
263	0.5791179808
264	0.5785380746
265	0.5780897608
266	0.5772579438
267	0.5765668371
268	0.5756999658
269	0.5751169793
270	0.5743797906
271	0.5737072275
272	0.5729153935
273	0.571977859
274	0.5712235435
275	0.5705586814
276	0.5700875114
277	0.5695977362
278	0.5686502214
