iter	Passed	Remaining
0	18	18270
1	29	14544
2	38	12938
3	48	12181
4	59	11795
5	69	11460
6	80	11483
7	91	11352
8	102	11302
9	113	11249
10	125	11275
11	135	11183
12	146	11110
13	157	11104
14	168	11070
15	178	11006
16	190	10999
17	200	10948
18	211	10903
19	222	10889
20	232	10853
21	245	10932
22	259	11005
23	268	10927
24	278	10876
25	288	10800
26	297	10733
27	307	10668
28	317	10617
29	326	10557
30	336	10506
31	345	10454
32	355	10420
33	365	10389
34	375	10346
35	384	10301
36	394	10264
37	403	10221
38	414	10208
39	424	10185
40	434	10158
41	444	10131
42	453	10103
43	463	10080
44	473	10057
45	485	10067
46	494	10026
47	505	10024
48	514	9990
49	524	9960
50	534	9940
51	544	9918
52	553	9887
53	562	9851
54	572	9833
55	582	9812
56	591	9793
57	601	9771
58	611	9754
59	621	9736
60	630	9713
61	640	9695
62	650	9672
63	660	9655
64	669	9636
65	679	9619
66	689	9598
67	698	9573
68	708	9557
69	718	9546
70	728	9527
71	738	9512
72	747	9494
73	757	9478
74	767	9460
75	776	9440
76	788	9450
77	797	9428
78	807	9411
79	816	9390
80	827	9393
81	837	9372
82	846	9353
83	856	9336
84	865	9320
85	875	9307
86	884	9286
87	894	9267
88	905	9267
89	917	9273
90	926	9252
91	936	9238
92	945	9225
93	956	9218
94	965	9198
95	974	9178
96	984	9168
97	994	9151
98	1004	9141
99	1014	9128
100	1023	9111
101	1033	9100
102	1043	9088
103	1053	9076
104	1063	9066
105	1073	9053
106	1083	9042
107	1093	9028
108	1103	9017
109	1113	9011
110	1123	8997
111	1133	8984
112	1143	8973
113	1152	8955
114	1162	8944
115	1171	8931
116	1181	8920
117	1191	8908
118	1201	8898
119	1212	8888
120	1221	8873
121	1231	8863
122	1241	8851
123	1251	8841
124	1262	8835
125	1271	8820
126	1281	8810
127	1291	8796
128	1300	8783
129	1310	8771
130	1320	8757
131	1329	8744
132	1339	8731
133	1349	8720
134	1359	8708
135	1368	8695
136	1378	8680
137	1388	8670
138	1397	8658
139	1407	8646
140	1417	8634
141	1426	8621
142	1436	8609
143	1446	8597
144	1455	8584
145	1465	8572
146	1475	8559
147	1484	8547
148	1494	8535
149	1503	8521
150	1513	8507
151	1522	8494
152	1533	8491
153	1543	8476
154	1552	8465
155	1562	8452
156	1571	8440
157	1581	8427
158	1591	8415
159	1600	8403
160	1610	8393
161	1620	8381
162	1630	8370
163	1639	8357
164	1649	8345
165	1658	8332
166	1667	8318
167	1677	8305
168	1686	8291
169	1696	8280
170	1705	8269
171	1715	8257
172	1723	8241
173	1733	8228
174	1743	8217
175	1752	8204
176	1762	8195
177	1771	8181
178	1780	8168
179	1790	8156
180	1799	8144
181	1809	8132
182	1818	8120
183	1828	8108
184	1837	8095
185	1846	8082
186	1855	8067
187	1865	8055
188	1874	8042
189	1884	8033
190	1893	8021
191	1903	8010
192	1913	8000
193	1922	7987
194	1931	7975
195	1941	7964
196	1950	7951
197	1960	7939
198	1969	7928
199	1979	7918
200	1989	7908
201	1999	7899
202	2009	7888
203	2019	7878
204	2028	7866
205	2037	7853
206	2046	7838
207	2056	7829
208	2065	7817
209	2075	7806
210	2085	7796
211	2094	7785
212	2104	7773
213	2113	7764
214	2123	7754
215	2133	7742
216	2142	7732
217	2152	7722
